x,y,t,velocity,gaze_state
485.9389343261719,161.8826141357422,291.076893,281.96275623606033,OTHER
506.00103759765625,161.4968719482422,291.086961,1993.0285398771762,SACCADE
519.6771850585938,171.38487243652344,291.096985,1683.589566765183,SACCADE
523.0001220703125,175.90750122070312,291.106981,561.4382734969488,SACCADE
522.6543579101562,176.3128662109375,291.116966,53.359832330474454,OTHER
524.5646362304688,172.53518676757812,291.127033,420.503136847593,SACCADE
524.7782592773438,171.93870544433594,291.137058,63.200091214933714,OTHER
524.128173828125,170.89451599121094,291.147054,123.05095635822482,OTHER
524.60546875,167.76107788085938,291.157039,317.43426904543753,SACCADE
525.5733032226562,165.7436065673828,291.167105,222.2937618485669,OTHER
525.2687377929688,164.2959442138672,291.17713,147.5664208607656,OTHER
519.4931030273438,165.8793487548828,291.187126,599.1146485636446,SACCADE
518.9205932617188,165.55189514160156,291.197111,66.05310156036612,OTHER
517.512451171875,164.5147705078125,291.207178,173.72150417252604,OTHER
515.7587890625,163.88230895996094,291.217203,185.9577010350819,OTHER
515.091552734375,163.0142059326172,291.227198,109.54482600931402,OTHER
513.1882934570312,162.3656005859375,291.237184,201.3561329503392,OTHER
508.6615295410156,166.4723358154297,291.24725,607.1951445381859,SACCADE
500.3091735839844,173.70968627929688,291.257275,1102.4185631907442,SACCADE
499.1530151367187,180.32049560546875,291.267272,671.3161562863771,SACCADE
500.3205261230469,183.640869140625,291.277257,352.49411327477725,SACCADE
500.7804565429687,183.60206604003903,291.287323,45.85380235200564,OTHER
501.3610229492187,182.4229431152344,291.297348,131.10238608261915,OTHER
500.6952819824219,182.9717254638672,291.307344,86.31158421746785,OTHER
499.5694274902344,183.5593109130859,291.317329,127.18704025812029,OTHER
499.8497314453125,182.3475799560547,291.327395,123.55743675700157,OTHER
500.1130065917969,182.7310485839844,291.337421,46.39410325329117,OTHER
499.9627990722656,182.7147521972656,291.347416,15.116453336438369,FIXATION
500.65814208984375,183.3225860595703,291.3574,92.50405210374133,OTHER
500.1780090332031,182.11708068847656,291.367468,128.88379028059163,OTHER
499.34185791015625,181.4053497314453,291.377493,109.53098371759359,OTHER
493.9409484863281,175.0560760498047,291.387489,833.8987872490932,SACCADE
498.1775207519531,180.92413330078125,291.397473,724.9183958969898,SACCADE
499.173095703125,181.564453125,291.40754,117.58359527169729,OTHER
497.6990661621094,181.13829040527344,291.417565,153.05717430383422,OTHER
488.537353515625,178.7245330810547,291.427561,947.8135719048934,SACCADE
469.5935974121094,172.6785125732422,291.437547,1991.3055150771888,SACCADE
459.4050903320313,167.2315673828125,291.447613,1147.7382548387693,SACCADE
457.17333984375,166.81214904785156,291.457637,226.53827531538133,OTHER
458.44097900390625,166.32994079589844,291.467634,135.66642900006357,OTHER
460.1490478515625,165.9841766357422,291.477619,174.53319856324185,OTHER
461.1163635253906,165.469482421875,291.487685,108.853903203722,OTHER
461.4068603515625,165.5895538330078,291.49771,31.354962683229907,OTHER
460.96630859375,165.45318603515625,291.507707,46.131301116088224,OTHER
460.844970703125,165.17445373535156,291.517692,30.44543437685095,OTHER
461.04290771484375,164.7533721923828,291.527758,46.22327542205417,OTHER
461.5982360839844,163.84007263183594,291.537782,106.63214042183883,OTHER
461.7960815429687,163.4190673828125,291.547779,46.531509404002854,OTHER
461.5439453125,162.9492645263672,291.557764,53.39870669131111,OTHER
462.1821594238281,162.66461181640625,291.567831,69.41655312077376,OTHER
463.6181640625,162.02423095703125,291.577855,156.85576193350363,OTHER
463.6086120605469,162.11166381835938,291.587851,8.798828497736825,FIXATION
464.3395080566406,162.3679656982422,291.597836,77.56954086554612,OTHER
467.0298767089844,162.74853515625,291.607903,269.9068536465649,OTHER
467.4703369140625,162.8848419189453,291.617928,45.991931347137296,OTHER
467.9203186035156,162.93368530273438,291.627924,45.28059084533757,OTHER
468.3703002929687,162.9825439453125,291.637909,45.33063925318664,OTHER
469.1297912597656,162.97653198242188,291.647975,75.45348312242832,OTHER
470.3582763671875,162.844482421875,291.658,123.24805112983972,OTHER
471.6246643066406,162.36273193359375,291.667996,135.54672572116402,OTHER
473.3408203125,161.9298553466797,291.677981,177.25666373741464,OTHER
