frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
552,22.12,nan,nan
553,22.16,nan,nan
554,22.2,nan,nan
555,22.24,nan,nan
556,22.28,nan,nan
557,22.32,nan,nan
558,22.36,nan,nan
559,22.401,nan,nan
560,22.441,nan,nan
561,22.481,nan,nan
562,22.521,nan,nan
563,22.561,nan,nan
564,22.601,nan,nan
565,22.641,nan,nan
566,22.681,nan,nan
567,22.721,nan,nan
568,22.761,nan,nan
569,22.801,nan,nan
570,22.841,nan,nan
571,22.881,nan,nan
572,22.921,nan,nan
573,22.962,nan,nan
574,23.002,nan,nan
575,23.042,nan,nan
576,23.082,nan,nan
577,23.122,nan,nan
578,23.162,nan,nan
579,23.202,nan,nan
580,23.242,nan,nan
581,23.282,nan,nan
582,23.322,nan,nan
583,23.362,nan,nan
584,23.402,nan,nan
585,23.442,nan,nan
586,23.482,nan,nan
587,23.523,nan,nan
588,23.563,nan,nan
589,23.603,nan,nan
590,23.643,nan,nan
591,23.683,nan,nan
592,23.723,nan,nan
593,23.763,nan,nan
594,23.803,nan,nan
595,23.843,nan,nan
596,23.883,nan,nan
597,23.923,nan,nan
598,23.963,nan,nan
599,24.003,nan,nan
600,24.043,nan,nan
601,24.084,nan,nan
602,24.124,nan,nan
603,24.164,nan,nan
604,24.204,nan,nan
605,24.244,nan,nan
606,24.284,nan,nan
607,24.324,nan,nan
608,24.364,nan,nan
609,24.404,nan,nan
610,24.444,nan,nan
611,24.484,nan,nan
612,24.524,nan,nan
613,24.564,nan,nan
614,24.605,nan,nan
615,24.645,nan,nan
616,24.685,nan,nan
617,24.725,nan,nan
618,24.765,nan,nan
619,24.805,nan,nan
620,24.845,nan,nan
621,24.885,nan,nan
622,24.925,nan,nan
623,24.965,nan,nan
624,25.005,nan,nan
625,25.045,nan,nan
626,25.085,nan,nan
627,25.125,nan,nan
628,25.166,nan,nan
629,25.206,nan,nan
630,25.246,nan,nan
631,25.286,nan,nan
632,25.326,nan,nan
633,25.366,nan,nan
634,25.406,nan,nan
635,25.446,nan,nan
636,25.486,nan,nan
637,25.526,nan,nan
638,25.566,nan,nan
639,25.606,nan,nan
640,25.646,nan,nan
641,25.686,nan,nan
642,25.727,nan,nan
643,25.767,nan,nan
644,25.807,nan,nan
645,25.847,nan,nan
646,25.887,nan,nan
647,25.927,nan,nan
648,25.967,nan,nan
649,26.007,nan,nan
650,26.047,nan,nan
651,26.087,nan,nan
652,26.127,nan,nan
653,26.167,nan,nan
654,26.207,nan,nan
655,26.247,nan,nan
656,26.288,nan,nan
657,26.328,nan,nan
658,26.368,nan,nan
659,26.408,nan,nan
660,26.448,nan,nan
661,26.488,nan,nan
662,26.528,nan,nan
663,26.568,nan,nan
664,26.608,nan,nan
665,26.648,nan,nan
666,26.688,nan,nan
667,26.728,nan,nan
668,26.768,nan,nan
669,26.808,408.0578308105469,267.5500183105469
670,26.849,413.3722839355469,268.7055969238281
671,26.889,418.69183349609375,269.7152404785156
672,26.929,418.4532775878906,273.3885803222656
673,26.969,415.3779296875,278.4732666015625
674,27.009,410.1054992675781,283.37945556640625
675,27.049,448.06787109375,278.2347412109375
676,27.089,446.56298828125,277.83465576171875
